,货物名称,三级分类,二级分类,一级分类
1512,70克轻型胶版纸980X690,线材,钢铁制品,钢铁
1513,热圆发十堰,线材,钢铁制品,钢铁
1514,PC161214000041微波炉,线材,钢铁制品,钢铁
1515,PC161206000087洗衣机,线材,钢铁制品,钢铁
1516,焊管加热镀发西安,线材,钢铁制品,钢铁
1517,PC161130000044卷纸,线材,钢铁制品,钢铁
1518,PC161211000004卷纸,线材,钢铁制品,钢铁
1519,PC161220000052卷纸,线材,钢铁制品,钢铁
1520,PC161222000101卷纸,线材,钢铁制品,钢铁
1521,焊镀发宝鸡,线材,钢铁制品,钢铁
1522,65克轻型胶版纸780,线材,钢铁制品,钢铁
1523,黑方加热方发武汉,线材,钢铁制品,钢铁
1524,70g如意米黄双胶纸,线材,钢铁制品,钢铁
1525,黑方+热方发南昌31吨,管材及附件,钢 材、合金钢材,钢铁
1526,80g皓月双胶纸,线材,钢铁制品,钢铁
1527,南钢三级螺纹钢16,线材,钢铁制品,钢铁
1528,55克胶印书刊纸880X1240,线材,钢铁制品,钢铁
1529,南钢14螺纹14抗,线材,钢铁制品,钢铁
1530,55看胶印书刊纸820,线材,钢铁制品,钢铁
1531,75克轻型胶版纸720,线材,钢铁制品,钢铁
1532,75克轻型胶版纸965,线材,钢铁制品,钢铁
1533,65克离型原纸深典1210,线材,钢铁制品,钢铁
1534,65克离型原纸深黄1098,线材,钢铁制品,钢铁
1535,黑方加热方发石家庄,线材,钢铁制品,钢铁
1536,80克轻型胶版纸889,线材,钢铁制品,钢铁
1537,78克轻型胶版纸787,线材,钢铁制品,钢铁
1538,热圆发松江,线材,钢铁制品,钢铁
1539,100克离型原纸950,线材,钢铁制品,钢铁
1540,80克离型原纸1300,线材,钢铁制品,钢铁
1541,100克离型原纸1400,线材,钢铁制品,钢铁
1542,100克离型原纸1300,线材,钢铁制品,钢铁
1543,黑方+热方发南昌,管材及附件,钢 材、合金钢材,钢铁
1544,73克离型原纸1120,线材,钢铁制品,钢铁
1545,73克离型原纸1110,线材,钢铁制品,钢铁
1546,120克离型原纸1300,线材,钢铁制品,钢铁
1547,100克离型原纸1100,线材,钢铁制品,钢铁
1548,100克离型原纸1635,线材,钢铁制品,钢铁
1549,80克离型原纸1610,线材,钢铁制品,钢铁
1550,70克离型原纸990,线材,钢铁制品,钢铁
1551,80克离型原纸900,线材,钢铁制品,钢铁
1552,120克离型原纸2060,线材,钢铁制品,钢铁
1553,热镀7家31点5吨,线材,钢铁制品,钢铁
1554,热镀31点5吨,线材,钢铁制品,钢铁
1555,60克离型原纸1300,线材,钢铁制品,钢铁
1556,60克离型原纸950,线材,钢铁制品,钢铁
1557,60克离型原纸1100,线材,钢铁制品,钢铁
1558,南昌昌北经济开发区龙潭路+仓库31吨热方两地卸车,线材,钢铁制品,钢铁
1559,热镀7家31T,线材,钢铁制品,钢铁
1560,60克胶印书刊纸440,线材,钢铁制品,钢铁
1561,PC161228000111微波炉,线材,钢铁制品,钢铁
1562,方加热方发杭州,线材,钢铁制品,钢铁
1563,70克胶印书刊纸880,线材,钢铁制品,钢铁
1564,67克离型原纸1198,线材,钢铁制品,钢铁
1565,67克离型原纸1028,线材,钢铁制品,钢铁
1566,67克离型原纸1200,线材,钢铁制品,钢铁
1567,焊管加热镀发太原,线材,钢铁制品,钢铁
1568,热镀加白方,线材,钢铁制品,钢铁
1569,68克离型原纸1020,线材,钢铁制品,钢铁
1570,70克离型原纸1280,线材,钢铁制品,钢铁
1571,75克离型原纸1285,线材,钢铁制品,钢铁
1572,热镀江西大鹏,线材,钢铁制品,钢铁
1573,商河热镀,线材,钢铁制品,钢铁
1574,热镀加焊管7家发南阳,线材,钢铁制品,钢铁
1575,立式铣床,线材,钢铁制品,钢铁
1576,热镀加焊管发南阳,线材,钢铁制品,钢铁
1577,热镀阜阳颖上,线材,钢铁制品,钢铁
1578,阿拉巴马浆,线材,钢铁制品,钢铁
1579,象牌小叶浆,线材,钢铁制品,钢铁
1580,胶水,其它日用品,日用工业品,轻工、医药产品
1581,焊管加热镀发新乡,线材,钢铁制品,钢铁
1582,热圆发重庆,线材,钢铁制品,钢铁
1583,纸张,线材,钢铁制品,钢铁
1584,南昌31吨热镀,线材,钢铁制品,钢铁
1585,热方1车发南昌,线材,钢铁制品,钢铁
1586,65克轻型胶版纸889,线材,钢铁制品,钢铁
1587,热圆发长沙,线材,钢铁制品,钢铁
1588,60克胶印书刊纸394X2,线材,钢铁制品,钢铁
1589,55克胶印书刊纸889X1194,线材,钢铁制品,钢铁
1590,80克轻型胶版纸787X1092,线材,钢铁制品,钢铁
1591,70克轻型胶版纸787X1092,线材,钢铁制品,钢铁
1592,热镀31,线材,钢铁制品,钢铁
1593,70克轻型胶版纸889,线材,钢铁制品,钢铁
1594,55克胶印书刊纸725,线材,钢铁制品,钢铁
1595,50克胶印书刊纸1475,线材,钢铁制品,钢铁
1596,西宁热镀,线材,钢铁制品,钢铁
1597,书刊,线材,钢铁制品,钢铁
1598,热方+黑方发南昌,管材及附件,钢 材、合金钢材,钢铁
1599,数控机床,线材,钢铁制品,钢铁
1600,文件柜,线材,钢铁制品,钢铁
1601,68克离型原纸1096,线材,钢铁制品,钢铁
1602,玻璃纤维,线材,钢铁制品,钢铁
1603,55克胶印书刊纸890,线材,钢铁制品,钢铁
1604,工业丝,线材,钢铁制品,钢铁
1605,80克轻型胶版纸889X635,线材,钢铁制品,钢铁
1606,52克胶印书刊纸,线材,钢铁制品,钢铁
1607,52克胶印书刊纸787,线材,钢铁制品,钢铁
1608,立式升降台铣床,线材,钢铁制品,钢铁
1609,60克880卷筒傅汇胶版纸,线材,钢铁制品,钢铁
1610,兴钢备货螺纹,线材,钢铁制品,钢铁
1611,55克轻型胶版纸700,线材,钢铁制品,钢铁
1612,泰安热镀,线材,钢铁制品,钢铁
1613,扬州热镀,线材,钢铁制品,钢铁
1614,60克轻型胶版纸781,线材,钢铁制品,钢铁
1615,120克离型原纸1096,线材,钢铁制品,钢铁
1616,长沙热镀39T,线材,钢铁制品,钢铁
1617,60克期刊杂志纸880,线材,钢铁制品,钢铁
1618,70克轻型胶版纸960X705,线材,钢铁制品,钢铁
1619,70克轻型胶版纸705X960,线材,钢铁制品,钢铁
1620,70克离型原纸浅黄1206,线材,钢铁制品,钢铁
1621,67克离型原纸深黄1198,线材,钢铁制品,钢铁
1622,中铝螺纹,线材,钢铁制品,钢铁
1623,55克胶印书刊纸550x2,线材,钢铁制品,钢铁
1624,热镀38T,线材,钢铁制品,钢铁
1625,60克胶印书刊纸960x640,线材,钢铁制品,钢铁
1626,70克庆铜质版纸优光870x1194,线材,钢铁制品,钢铁
1627,发成都热方18号必须卸货,线材,钢铁制品,钢铁
1628,65克轻型胶版纸770,线材,钢铁制品,钢铁
1629,55克轻型胶版纸770,线材,钢铁制品,钢铁
1630,70克离型原纸1026,线材,钢铁制品,钢铁
1631,70克离型原纸1195,线材,钢铁制品,钢铁
1632,甜面酱,其它未列名饮食及调味食品,饮食品,轻工、医药产品
1633,豆瓣+促销,线材,钢铁制品,钢铁
1634,热镀32T,线材,钢铁制品,钢铁
1635,机械,线材,钢铁制品,钢铁
1636,白方加热镀16T,线材,钢铁制品,钢铁
1637,60克880卷筒博汇胶版纸,线材,钢铁制品,钢铁
1638,55克胶印书刊纸780X1092,线材,钢铁制品,钢铁
1639,常州向远三车热镀,线材,钢铁制品,钢铁
1640,城阳1车黑方热镀两厂两磅,线材,钢铁制品,钢铁
1641,80克白道林纸710,线材,钢铁制品,钢铁
1642,切割油,动植物食用油料、脂肪及制品,经济作物及制品,农、林、牧、渔业产品
1643,油井配件,通用设备,普通工业机械及设备,机械设备、电器
1644,70克离型原纸深黄1058,线材,钢铁制品,钢铁
1645,70克离型原纸浅黄1026,线材,钢铁制品,钢铁
1646,60克胶印书刊纸710X1000,线材,钢铁制品,钢铁
1647,73克离型原纸深黄1098,线材,钢铁制品,钢铁
1648,仪器,仪器仪表,仪器仪表、计量器具、工具,机械设备、电器
1649,75克轻型胶版纸787,线材,钢铁制品,钢铁
1650,纲塑配热镀,线材,钢铁制品,钢铁
1651,镀锌压型钢板,线材,钢铁制品,钢铁
1652,70克离型原纸1038,线材,钢铁制品,钢铁
1653,70克离型原纸1058,线材,钢铁制品,钢铁
1654,70克离型原纸1026浅黄,线材,钢铁制品,钢铁
1655,哈尔滨冰爽9度330ML4X6纸箱听装塑膜,线材,钢铁制品,钢铁
1656,哈尔滨麦道10度580ML1X12纸箱回瓶装,线材,钢铁制品,钢铁
1657,哈尔滨清爽8度500ML1X12纸箱回瓶装无格挡,线材,钢铁制品,钢铁
1658,70克轻型胶版纸700,线材,钢铁制品,钢铁
1659,哈尔滨冰爽9度330ML1X24纸箱回瓶装,线材,钢铁制品,钢铁
1660,维雪喜年华9度580ML1X12纸箱回瓶装哈啤联合品牌,线材,钢铁制品,钢铁
1661,哈尔滨冰爽9度500ML1X12纸箱听装,线材,钢铁制品,钢铁
1662,热镀6608,线材,钢铁制品,钢铁
1663,商品车11板,线材,钢铁制品,钢铁
1664,商品车10板,线材,钢铁制品,钢铁
1665,钢管8158,线材,钢铁制品,钢铁
1666,78克轻型胶版纸889X1194,线材,钢铁制品,钢铁
1667,78克轻型胶版纸787X1092,线材,钢铁制品,钢铁
1668,78克轻型胶版纸710X980,线材,钢铁制品,钢铁
1669,热镀+螺旋,管材及附件,钢 材、合金钢材,钢铁
1670,哈尔滨冰爽9度500ML1X12纸箱听装16吨,线材,钢铁制品,钢铁
1671,热方加方发常州,线材,钢铁制品,钢铁
1672,玻璃纤维短纤,线材,钢铁制品,钢铁
1673,热镀加焊管发苏州工业园,线材,钢铁制品,钢铁
1674,焊家热镀加纲塑,线材,钢铁制品,钢铁
1675,发藁城热方,线材,钢铁制品,钢铁
1676,热镀徐州,线材,钢铁制品,钢铁
1677,70克轻型胶版纸650,线材,钢铁制品,钢铁
1678,58克胶印书刊纸780,线材,钢铁制品,钢铁
1679,车方热方发常州,线材,钢铁制品,钢铁
1680,床上用品,家具、坐具,日用工业品,轻工、医药产品
1681,s双胶纸,线材,钢铁制品,钢铁
1682,60克胶印书刊纸880x1230,线材,钢铁制品,钢铁
1683,浙江华拓热方发德清,线材,钢铁制品,钢铁
1684,发成都热方,线材,钢铁制品,钢铁
1685,临沂热镀,线材,钢铁制品,钢铁
1686,52克铜版本原纸896,线材,钢铁制品,钢铁
1687,圆发德清,线材,钢铁制品,钢铁
1688,方热方发常州,线材,钢铁制品,钢铁
1689,焊家热镀,线材,钢铁制品,钢铁
1690,焊管加热镀发新乡33吨,线材,钢铁制品,钢铁
1691,方热方发德清,线材,钢铁制品,钢铁
1692,方热方发杭州,线材,钢铁制品,钢铁
1693,发松滋一车热方30吨,线材,钢铁制品,钢铁
1694,济南热镀,线材,钢铁制品,钢铁
1695,湖北友发热方发武汉,线材,钢铁制品,钢铁
1696,黑方加热镀直属,线材,钢铁制品,钢铁
1697,热镀加吉利40T,线材,钢铁制品,钢铁
1698,55克轻型胶版纸880,线材,钢铁制品,钢铁
1699,70克轻型胶版纸940,线材,钢铁制品,钢铁
1700,湖北友发发武汉热方,线材,钢铁制品,钢铁
1701,60克轻型胶版纸889,线材,钢铁制品,钢铁
1702,发热圆,线材,钢铁制品,钢铁
1703,花岗岩垫石,线材,钢铁制品,钢铁
1704,3号电镀锌角钢,线材,钢铁制品,钢铁
1705,4号电镀锌角钢,线材,钢铁制品,钢铁
1706,热镀加纲塑13T,线材,钢铁制品,钢铁
1707,热镀33T,线材,钢铁制品,钢铁
1708,55克轻型胶版纸780,线材,钢铁制品,钢铁
1709,哈尔滨冰纯91度600ML1X12纸箱回瓶装,线材,钢铁制品,钢铁
1710,哈尔滨冰爽9度330ML4X6纸箱听装机械黄包箱,线材,钢铁制品,钢铁
1711,5#镀锌角钢,线材,钢铁制品,钢铁
1712,热镀40T,线材,钢铁制品,钢铁
1713,苏州朝东热镀不叉,线材,钢铁制品,钢铁
1714,电厂焊管套管,线材,钢铁制品,钢铁
1715,65克离型原纸1210深黄,线材,钢铁制品,钢铁
1716,65克离型原纸1098深黄,线材,钢铁制品,钢铁
1717,发济南章丘枣园镇热方,线材,钢铁制品,钢铁
1718,73克离型原纸1285,线材,钢铁制品,钢铁
1719,80克离型原纸820,线材,钢铁制品,钢铁
1720,80克离型原纸1050,线材,钢铁制品,钢铁
1721,80克离型原纸1305,线材,钢铁制品,钢铁
1722,60克轻型胶版纸640,线材,钢铁制品,钢铁
1723,60克轻型胶版纸970,线材,钢铁制品,钢铁
1724,80克离型原纸1555,线材,钢铁制品,钢铁
1725,60克轻型胶版纸730,线材,钢铁制品,钢铁
1726,60克轻型胶版纸1010,线材,钢铁制品,钢铁
1727,100克离型原纸1105,线材,钢铁制品,钢铁
1728,100克离型原纸1305,线材,钢铁制品,钢铁
1729,100克离型原纸1250,线材,钢铁制品,钢铁
1730,100克离型原纸1405,线材,钢铁制品,钢铁
1731,120克离型原纸1550,线材,钢铁制品,钢铁
1732,58克轻型胶版纸889,线材,钢铁制品,钢铁
1733,58克轻型胶版纸880,线材,钢铁制品,钢铁
1734,65克轻型胶版纸730,线材,钢铁制品,钢铁
1735,65克轻型胶版纸980,线材,钢铁制品,钢铁
1736,百威97度330ML1X24纸箱听装,线材,钢铁制品,钢铁
1737,热镀加焊管33T发长治,线材,钢铁制品,钢铁
1738,73克离型原纸1205,线材,钢铁制品,钢铁
1739,73克离型原纸800,线材,钢铁制品,钢铁
1740,白方热镀,线材,钢铁制品,钢铁
1741,78克高白胶板印刷纸787,线材,钢铁制品,钢铁
1742,78克高白胶板印刷纸889,线材,钢铁制品,钢铁
1743,98克高白胶板印刷纸787,线材,钢铁制品,钢铁
1744,98克高白胶板印刷纸889,线材,钢铁制品,钢铁
1745,55克轻型胶版纸870,线材,钢铁制品,钢铁
1746,黑方加热镀13T,线材,钢铁制品,钢铁
1747,75克高白胶板印刷纸787,线材,钢铁制品,钢铁
1748,75克高白胶板印刷纸880,线材,钢铁制品,钢铁
1749,补冀DJ9278热镀13日,线材,钢铁制品,钢铁
1750,南昌32吨热镀,线材,钢铁制品,钢铁
1751,70克全轻型胶版纸530,线材,钢铁制品,钢铁
1752,消防管件,线材,钢铁制品,钢铁
1753,合肥宝光当涂县一车热镀芜湖两磅,线材,钢铁制品,钢铁
1754,热镀16T,线材,钢铁制品,钢铁
1755,75克高白胶板印刷纸889,线材,钢铁制品,钢铁
1756,60克胶印书刊纸635X889,线材,钢铁制品,钢铁
1757,60胶印书刊纸787X1092,线材,钢铁制品,钢铁
1758,镀锌角钢5#,线材,钢铁制品,钢铁
1759,65克轻型胶版纸1060,线材,钢铁制品,钢铁
1760,65克轻型胶版纸840,线材,钢铁制品,钢铁
1761,65克轻型胶版纸880,线材,钢铁制品,钢铁
1762,95克轻型胶版纸720,线材,钢铁制品,钢铁
1763,95克轻型胶版纸1000,线材,钢铁制品,钢铁
1764,75克轻型胶版纸1010,线材,钢铁制品,钢铁
1765,白方加热镀15T,线材,钢铁制品,钢铁
1766,螺纹钢十二局大同00221,线材,钢铁制品,钢铁
1767,螺纹钢十二局大同00223,线材,钢铁制品,钢铁
1768,螺纹钢十二局大同00224,线材,钢铁制品,钢铁
1769,螺纹钢十二局大同00220,线材,钢铁制品,钢铁
1770,螺纹钢十二局大同00222,线材,钢铁制品,钢铁
1771,热镀33,线材,钢铁制品,钢铁
1772,60克轻型胶版纸880X1240,线材,钢铁制品,钢铁
1773,41克离型原纸1650,线材,钢铁制品,钢铁
1774,热镀扬州,线材,钢铁制品,钢铁
1775,热镀13T,线材,钢铁制品,钢铁
1776,抗震螺纹钢,线材,钢铁制品,钢铁
1777,热镀盖雨布,线材,钢铁制品,钢铁
1778,58克胶印书刊纸787X1092,线材,钢铁制品,钢铁
1779,58克胶印书刊纸710X1000,线材,钢铁制品,钢铁
1780,62克微涂胶版纸889,线材,钢铁制品,钢铁
1781,62克微涂胶版纸787,线材,钢铁制品,钢铁
1782,三角枫,线材,钢铁制品,钢铁
1783,62克热敏原纸820,线材,钢铁制品,钢铁
1784,热镀18t,线材,钢铁制品,钢铁
1785,58克热敏原纸1261,线材,钢铁制品,钢铁
1786,济南骄隆济南热镀,线材,钢铁制品,钢铁
1787,透水砖,线材,钢铁制品,钢铁
1788,结晶糖,线材,钢铁制品,钢铁
1789,镀锌角钢4#,线材,钢铁制品,钢铁
1790,汽车玻璃沈阳到河北,线材,钢铁制品,钢铁
1791,65克期刊杂志纸770,线材,钢铁制品,钢铁
1792,58克热敏原纸1678,线材,钢铁制品,钢铁
1793,58克热敏原纸1615,线材,钢铁制品,钢铁
1794,65克离型原纸1036,线材,钢铁制品,钢铁
1795,65克离型原纸1040,线材,钢铁制品,钢铁
1796,45克无碳原纸1720,线材,钢铁制品,钢铁
1797,70克离型原纸1036,线材,钢铁制品,钢铁
1798,豆瓣+促销品,线材,钢铁制品,钢铁
1799,豆瓣+赠品,线材,钢铁制品,钢铁
1800,水晶剑南春,饮料、果菜汁,饮食品,轻工、医药产品
1801,热镀25T,线材,钢铁制品,钢铁
1802,发山东曲阜1车热方,线材,钢铁制品,钢铁
1803,热镀22T,线材,钢铁制品,钢铁
1804,汽车玻璃河北到沈阳,线材,钢铁制品,钢铁
1805,热镀管黑方,线材,钢铁制品,钢铁
1806,热镀管黑方两磅,线材,钢铁制品,钢铁
1807,70克离型原纸1036深黄,线材,钢铁制品,钢铁
1808,纲塑加热镀,线材,钢铁制品,钢铁
1809,64克胶印书刊纸870X1210,线材,钢铁制品,钢铁
1810,热镀家焊管发鹤壁浚县,线材,钢铁制品,钢铁
1811,75克离型原纸1096,线材,钢铁制品,钢铁
1812,热方加方发德清,线材,钢铁制品,钢铁
1813,热方加热镀,线材,钢铁制品,钢铁
1814,方管发邯郸,线材,钢铁制品,钢铁
1815,热镀37吨1车34吨2车,线材,钢铁制品,钢铁
1816,莘县孙纪亮热镀,线材,钢铁制品,钢铁
1817,65克典雅纯质纸787,线材,钢铁制品,钢铁
1818,65克典雅纯质纸1010,线材,钢铁制品,钢铁
1819,螺旋加热镀31吨,线材,钢铁制品,钢铁
1820,65克离型原纸1195,线材,钢铁制品,钢铁
1821,65克离型原纸1095,线材,钢铁制品,钢铁
1822,黑方有定尺发河南中牟县,线材,钢铁制品,钢铁
1823,110克典雅纯质纸787,线材,钢铁制品,钢铁
1824,110克典雅纯质纸889,线材,钢铁制品,钢铁
1825,95克典雅纯质纸787,线材,钢铁制品,钢铁
1826,95克典雅纯质纸889,线材,钢铁制品,钢铁
1827,75克典雅纯质纸787,线材,钢铁制品,钢铁
1828,75克典雅纯质纸889,线材,钢铁制品,钢铁
1829,41克无碳复印原纸1710,线材,钢铁制品,钢铁
1830,南昌湾里32吨热镀,线材,钢铁制品,钢铁
1831,58克轻型胶版纸700,线材,钢铁制品,钢铁
1832,80克轻型胶版纸880,线材,钢铁制品,钢铁
1833,60克胶印书刊纸787X1092,线材,钢铁制品,钢铁
1834,90克轻型胶版纸960,线材,钢铁制品,钢铁
1835,90克轻型胶版纸800,线材,钢铁制品,钢铁
1836,60克胶印书刊纸90X640,线材,钢铁制品,钢铁
1837,螺纹1625,线材,钢铁制品,钢铁
1838,车方加热方加热镀,线材,钢铁制品,钢铁
1839,热镀管两地卸货,线材,钢铁制品,钢铁
1840,发石家庄黑方加热方,线材,钢铁制品,钢铁
1841,濮阳鑫瑞源螺旋加热镀,线材,钢铁制品,钢铁
1842,60克全浆胶版纸886,线材,钢铁制品,钢铁
1843,液压支架,线材,钢铁制品,钢铁
1844,新闻纸,线材,钢铁制品,钢铁
1845,镀锌角钢和槽钢,线材,钢铁制品,钢铁
1846,70克象牙数码纸575,线材,钢铁制品,钢铁
1847,钢管16T,线材,钢铁制品,钢铁
1848,50克胶印书刊纸787,线材,钢铁制品,钢铁
1849,58克热敏原纸1549,线材,钢铁制品,钢铁
1850,58克热敏原纸1037,线材,钢铁制品,钢铁
1851,汇流箱,线材,钢铁制品,钢铁
1852,60克胶印书刊纸870X1295,线材,钢铁制品,钢铁
1853,天柏枫树80柜,线材,钢铁制品,钢铁
1854,78克轻型胶版纸711,线材,钢铁制品,钢铁
1855,78克轻型胶版纸990,线材,钢铁制品,钢铁
1856,热镀阜南两磅,线材,钢铁制品,钢铁
1857,120克离型原纸1305,线材,钢铁制品,钢铁
1858,100克离型原纸1555,线材,钢铁制品,钢铁
1859,120克离型原纸1555,线材,钢铁制品,钢铁
1860,120克离型原纸1050,线材,钢铁制品,钢铁
1861,120克离型原纸1405,线材,钢铁制品,钢铁
1862,120克离型原纸1860,线材,钢铁制品,钢铁
1863,热镀+螺旋两厂两磅,管材及附件,钢 材、合金钢材,钢铁
1864,天柏枫树柜80,线材,钢铁制品,钢铁
1865,合肥宝光当涂县一车热镀两磅滁州汊河镇,线材,钢铁制品,钢铁
1866,52克版铜原纸794,线材,钢铁制品,钢铁
1867,热镀涡阳,线材,钢铁制品,钢铁
1868,南昌31吨热镀2车,线材,钢铁制品,钢铁
1869,江西鄱阳县游城乡32吨热镀1车江西全通,线材,钢铁制品,钢铁
1870,方管45吨以上发长葛,线材,钢铁制品,钢铁
1871,江西鄱阳县游城乡32吨热镀,线材,钢铁制品,钢铁
1872,60克胶胶印书刊纸770,线材,钢铁制品,钢铁
1873,6克胶印书刊纸860,线材,钢铁制品,钢铁
1874,方管45吨发长葛,线材,钢铁制品,钢铁
1875,发藁城焊管热镀1车,线材,钢铁制品,钢铁
1876,60克胶印书刊纸787X1000,线材,钢铁制品,钢铁
1877,60克胶印书刊纸787X645,线材,钢铁制品,钢铁
1878,60克胶印书刊纸787X1100,线材,钢铁制品,钢铁
1879,安庆热镀,线材,钢铁制品,钢铁
1880,直发杨浦区中原路长海路路口工地,线材,钢铁制品,钢铁
1881,济南骄隆济南1车热镀,线材,钢铁制品,钢铁
1882,98克轻型胶版纸889,线材,钢铁制品,钢铁
1883,热镀+焊管发芜湖,管材及附件,钢 材、合金钢材,钢铁
1884,10克染色原纸893,线材,钢铁制品,钢铁
1885,成都瑞凌发成都3车热方,线材,钢铁制品,钢铁
1886,青岛北方青岛1车热镀加螺旋两厂两磅,线材,钢铁制品,钢铁
1887,钢管39T,线材,钢铁制品,钢铁
1888,80克离型原纸1200,线材,钢铁制品,钢铁
1889,80克离型原纸960,线材,钢铁制品,钢铁
1890,80克离型原纸935,线材,钢铁制品,钢铁
1891,100克离型原纸1200,线材,钢铁制品,钢铁
1892,70克离型原纸1075,线材,钢铁制品,钢铁
1893,西安1车热镀陕西大鹏,线材,钢铁制品,钢铁
1894,西安2车热镀陕西恒鑫孙景海,线材,钢铁制品,钢铁
1895,石家庄焊管热镀,线材,钢铁制品,钢铁
1896,合肥誉昌一车热镀合肥,线材,钢铁制品,钢铁
1897,热镀两磅1亳州,线材,钢铁制品,钢铁
1898,南昌31吨热镀1车江西永恒,线材,钢铁制品,钢铁
1899,70克离型原纸1400,线材,钢铁制品,钢铁
1900,70克离型原纸845,线材,钢铁制品,钢铁
1901,G钢管,线材,钢铁制品,钢铁
1902,73克离型原纸浅黄1100,线材,钢铁制品,钢铁
1903,太原恒帅热镀2车,线材,钢铁制品,钢铁
1904,55克胶印书刊纸1300,线材,钢铁制品,钢铁
1905,80克离型原纸1105,线材,钢铁制品,钢铁
1906,120克离型原纸1100,线材,钢铁制品,钢铁
1907,100克离型原纸1050,线材,钢铁制品,钢铁
1908,120克离型原纸1055,线材,钢铁制品,钢铁
1909,67克离型原纸1313,线材,钢铁制品,钢铁
1910,67克离型原纸1563,线材,钢铁制品,钢铁
1911,67克离型原纸1413,线材,钢铁制品,钢铁
1912,67克离型原纸1113,线材,钢铁制品,钢铁
1913,73克离型原纸1053,线材,钢铁制品,钢铁
1914,73克离型原纸1233,线材,钢铁制品,钢铁
1915,70克离型原纸860,线材,钢铁制品,钢铁
1916,80克离型原纸990,线材,钢铁制品,钢铁
1917,70克离型原纸深黄1028,线材,钢铁制品,钢铁
1918,宁波中基惠通方钜管发大邱庄两磅,线材,钢铁制品,钢铁
1919,55克胶印书书刊纸820,线材,钢铁制品,钢铁
1920,橱柜,家具、坐具,日用工业品,轻工、医药产品
1921,南昌31吨热镀南昌万溪,线材,钢铁制品,钢铁
1922,南昌31吨热镀江西鑫淼,线材,钢铁制品,钢铁
1923,68克离型原纸1205,线材,钢铁制品,钢铁
1924,55期刊杂志纸770,线材,钢铁制品,钢铁
1925,平版印刷纸,线材,钢铁制品,钢铁
1926,平版印刷用纸,线材,钢铁制品,钢铁
1927,热方提成焊管加钢塑发十堰,线材,钢铁制品,钢铁
1928,70克轻型胶版纸880,线材,钢铁制品,钢铁
1929,保定白沟镇热镀,线材,钢铁制品,钢铁
1930,78克轻型胶版纸720,线材,钢铁制品,钢铁
1931,78克轻型胶版纸710,线材,钢铁制品,钢铁
1932,发泡空心砖,线材,钢铁制品,钢铁
1933,55克胶印书刊纸890X1240,线材,钢铁制品,钢铁
1934,热镀+方管,管材及附件,钢 材、合金钢材,钢铁
1935,67克离型原纸381X2,线材,钢铁制品,钢铁
1936,管坯,线材,钢铁制品,钢铁
1937,67克离型原纸850,线材,钢铁制品,钢铁
1938,焊管+热镀发濉溪,管材及附件,钢 材、合金钢材,钢铁
1939,60克胶印书刊纸720,线材,钢铁制品,钢铁
1940,70克离型原纸浅黄1200,线材,钢铁制品,钢铁
1941,齿形扁钢,线材,钢铁制品,钢铁
1942,热镀加刚塑,线材,钢铁制品,钢铁
1943,热镀两磅阜阳6+8,线材,钢铁制品,钢铁
1944,73克离型原纸945,线材,钢铁制品,钢铁
1945,美的冰箱,家用电器,电力设备、电器机械及器材,机械设备、电器
1946,热镀+白方,管材及附件,钢 材、合金钢材,钢铁
1947,75克伸性纸袋820MM,线材,钢铁制品,钢铁
1948,75克伸性纸袋980MM,线材,钢铁制品,钢铁
1949,75克纸袋纸760,线材,钢铁制品,钢铁
1950,80克纸袋纸1020,线材,钢铁制品,钢铁
1951,75克纸袋纸1020,线材,钢铁制品,钢铁
1952,啤酒瓶,玻璃制品,日用工业品,轻工、医药产品
1953,70克轻型胶版纸710X1010,线材,钢铁制品,钢铁
1954,65克离型原纸深黄1036,线材,钢铁制品,钢铁
1955,螺加焊管,线材,钢铁制品,钢铁
1956,发南昌热方41T,线材,钢铁制品,钢铁
1957,75克伸行纸袋纸760,线材,钢铁制品,钢铁
1958,75克伸行纸袋纸980,线材,钢铁制品,钢铁
1959,75克伸行纸袋纸820,线材,钢铁制品,钢铁
1960,合肥誉昌2车热镀合肥,线材,钢铁制品,钢铁
1961,热镀不能超过40吨,线材,钢铁制品,钢铁
1962,废铜,铜废碎料,铜,有色金属
1963,70克轻型胶版纸889X1320,线材,钢铁制品,钢铁
1964,80克离型原纸1255,线材,钢铁制品,钢铁
1965,方管发长沙,线材,钢铁制品,钢铁
1966,粘胶纤维,纱、线、丝、纤维（非复合材料）,针织、纺织、皮毛及制品,轻工、医药产品
1967,合肥誉昌一车热镀淮北工地,线材,钢铁制品,钢铁
1968,合肥誉昌一车热镀淮北,线材,钢铁制品,钢铁
1969,石家庄黑方加热方,线材,钢铁制品,钢铁
1970,方管发商河,线材,钢铁制品,钢铁
1971,螺旋+热镀,管材及附件,钢 材、合金钢材,钢铁
1972,1车热方发遵义,线材,钢铁制品,钢铁
1973,临沂李桂琴1车热镀,线材,钢铁制品,钢铁
1974,电磁炉,家用电器,电力设备、电器机械及器材,机械设备、电器
1975,成都名亿发成都1车热方,线材,钢铁制品,钢铁
1976,55克胶印书刊纸860,线材,钢铁制品,钢铁
1977,压缩机配件,通用设备,普通工业机械及设备,机械设备、电器
1978,75克伸性纸袋纸1200,线材,钢铁制品,钢铁
1979,75克伸性纸袋纸820,线材,钢铁制品,钢铁
