货物全称,一级分类,二级分类,三级分类
80克精制轻量涂布纸889x1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精制轻量涂布纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸889x1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克象牙白道林纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸1090,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克象牙白道林纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
保温罐,钢铁,钢铁制品,钢铁容器
45克无炭复写原纸1035,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
95克全木浆胶版纸8620,轻工、医药产品,纸及制品(十类),纸板（原纸）
45克无碳复写纸1035,轻工、医药产品,纸及制品(十类),其它纸及制品
消防设备,机械设备、电器,专用机械、设备及制品,其它专用机械、设备
80克胶板印刷纸787x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克胶版印刷纸787x7092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克全木浆胶版纸830x1168,轻工、医药产品,纸及制品(十类),纸板（原纸）
80克全木浆胶版纸787x1070,轻工、医药产品,纸及制品(十类),纸板（原纸）
68克胶版印刷纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克全木浆胶版纸889,轻工、医药产品,纸及制品(十类),纸板（原纸）
60克全木浆胶版纸955,轻工、医药产品,纸及制品(十类),纸板（原纸）
55克胶版印刷纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
65克全木浆胶版纸724,轻工、医药产品,纸及制品(十类),纸板（原纸）
65克全木浆胶版纸762,轻工、医药产品,纸及制品(十类),纸板（原纸）
80克胶版印刷纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶印书刊880X1250,轻工、医药产品,文化体育用品,印刷品
70克胶版印刷纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
食品调味品,轻工、医药产品,饮食品,其它未列名饮食及调味食品
80克胶版印刷纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克全木浆胶版纸889,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆胶版纸880X1230,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆胶版纸880X1220,轻工、医药产品,纸及制品(十类),纸板（原纸）
41克品丰原纸,轻工、医药产品,纸及制品(十类),其它纸及制品
58克胶板印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
53克胶板印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克胶版印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆复印纸390270,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶印书刊之787,轻工、医药产品,文化体育用品,印刷品
70克全木浆复印纸297X420,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆复印纸182X257,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆复印纸390X270,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
H型钢390x300,钢铁,钢 材、合金钢材,型材
H型钢588x300,钢铁,钢 材、合金钢材,型材
52克铸涂纸1090,轻工、医药产品,纸及制品(十类),其它纸及制品
70克胶版印刷纸8801230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶版印刷纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
118克薄本纸787,轻工、医药产品,纸及制品(十类),其它纸及制品
118克薄本纸767,轻工、医药产品,纸及制品(十类),其它纸及制品
118克薄本纸,轻工、医药产品,纸及制品(十类),其它纸及制品
118克薄本纸857,轻工、医药产品,纸及制品(十类),其它纸及制品
70克全木浆胶版纸770,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆复印纸257X364,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
42克无碳复写纸1710,轻工、医药产品,纸及制品(十类),其它纸及制品
41克无碳复写纸1790,轻工、医药产品,纸及制品(十类),其它纸及制品
41克无碳复写纸1720,轻工、医药产品,纸及制品(十类),其它纸及制品
41克无碳复写纸1600,轻工、医药产品,纸及制品(十类),其它纸及制品
70克全木浆胶版纸880X1250,轻工、医药产品,纸及制品(十类),纸板（原纸）
80克胶版印刷纸700X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
镀方管,钢铁,钢 材、合金钢材,管材及附件
70克精制轻量涂布纸781,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
热管,钢铁,钢 材、合金钢材,管材及附件
60克轻型胶版版纸880,轻工、医药产品,纸及制品(十类),其它纸及制品
55克胶版印刷纸1180,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆复印纸297X4220,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
热镀方矩管热镀圆管,钢铁,钢 材、合金钢材,管材及附件
60克胶版印刷纸1905,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
热管+钢塑,钢铁,钢 材、合金钢材,管材及附件
70克胶版印刷纸1825,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶版印刷纸1825,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
焊管+热管,钢铁,钢 材、合金钢材,管材及附件
80克全木浆复印纸297X420,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克胶版印刷纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆胶版纸1000X1440,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆胶版纸8301092,轻工、医药产品,纸及制品(十类),纸板（原纸）
80克全木浆复印纸210X297,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克胶版印刷纸850,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克胶版印刷纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克胶版印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克象牙白道林纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克象牙白道林纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克象牙白道林纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克象牙白道林纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克全木浆胶版纸889x1194,轻工、医药产品,纸及制品(十类),纸板（原纸）
60克全木浆胶版纸787x1092,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆胶版纸889x1194,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆胶版纸787x1092,轻工、医药产品,纸及制品(十类),纸板（原纸）
120克象牙白道林纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克全木浆胶版纸765,轻工、医药产品,纸及制品(十类),纸板（原纸）
65克胶版印刷纸844,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
生铁,钢铁,生铁、铁合金、非合金钢,生铁
75克雅典纯纸787,轻工、医药产品,纸及制品(十类),其它纸及制品
75克典雅纯纸889,轻工、医药产品,纸及制品(十类),其它纸及制品
62克精制轻量涂布纸787x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
67克胶版印刷纸720,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
67克胶版印刷纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆胶版纸787x1092,轻工、医药产品,纸及制品(十类),纸板（原纸）
100克全木浆胶版纸89x1194,轻工、医药产品,纸及制品(十类),纸板（原纸）
70胶版印刷纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80胶版印刷纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆复印纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆复印纸620,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆复印纸914,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
62克精制轻量涂布纸765,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
62克精制轻量涂布纸835,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克胶版印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克胶版印刷纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80胶版印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克精制轻量涂布纸8701210,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克精制轻量涂布纸870X1210,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆复印纸420X297,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
65克全木浆胶版纸775X1092,轻工、医药产品,纸及制品(十类),纸板（原纸）
60克胶版印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸787x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
方管指定直属,钢铁,钢 材、合金钢材,管材及附件
70克胶版印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
118克薄本纸889,轻工、医药产品,纸及制品(十类),其它纸及制品
98克薄本纸767,轻工、医药产品,纸及制品(十类),其它纸及制品
80克全木浆胶版纸846,轻工、医药产品,纸及制品(十类),纸板（原纸）
醋,轻工、医药产品,饮食品,其它未列名饮食及调味食品
56克胶版印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
焊管加白方指定,钢铁,钢 材、合金钢材,管材及附件
焊管7家,钢铁,钢 材、合金钢材,管材及附件
80克全木浆复印纸846X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克全木浆胶版纸787,轻工、医药产品,纸及制品(十类),纸板（原纸）
118克胶版印刷纸865,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
太阳能电池片,机械设备、电器,电子、电讯设备及器材,电池、蓄电池
无烟煤晋城,煤炭及制品,原煤,无烟煤
铜板纸,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆胶版纸870X1220,轻工、医药产品,纸及制品(十类),纸板（原纸）
80克全木浆胶版纸787X1050,轻工、医药产品,纸及制品(十类),纸板（原纸）
80克全木浆胶版纸787X1070,轻工、医药产品,纸及制品(十类),纸板（原纸）
热镀方矩管+热镀圆管,钢铁,钢 材、合金钢材,管材及附件
45克无碳复写原纸1710,轻工、医药产品,纸及制品(十类),其它纸及制品
80克全木浆复印纸846,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克全木浆胶版纸787,轻工、医药产品,纸及制品(十类),纸板（原纸）
热镀圆管+焊管,钢铁,钢 材、合金钢材,管材及附件
80克精品复合原纸1060,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精品复合原纸630,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆复印纸297X240,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
焊管必须盖雨布,钢铁,钢 材、合金钢材,管材及附件
80克全木胶版纸720X960,轻工、医药产品,纸及制品(十类),纸板（原纸）
120克全木浆胶版纸889,轻工、医药产品,纸及制品(十类),纸板（原纸）
铜版纸,轻工、医药产品,纸及制品(十类),纸板（原纸）
双面铜版纸,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆胶版纸830X1092,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆复印纸875X1100,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆胶版纸787X1092,轻工、医药产品,纸及制品(十类),纸板（原纸）
64克精制轻量涂布纸870X1210,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
65克全木浆胶版纸767,轻工、医药产品,纸及制品(十类),纸板（原纸）
焊管12T,钢铁,钢 材、合金钢材,管材及附件
60克全木浆胶版纸880X1270,轻工、医药产品,纸及制品(十类),纸板（原纸）
两票焊管,钢铁,钢 材、合金钢材,管材及附件
除尘器配件,机械设备、电器,专用机械、设备及制品,滚压、离心、干燥机械
指定方矩管,钢铁,钢 材、合金钢材,管材及附件
焊管35吨可调吨位,钢铁,钢 材、合金钢材,管材及附件
68克胶版印刷纸770,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克薄本纸745,轻工、医药产品,纸及制品(十类),其它纸及制品
68克薄本纸767,轻工、医药产品,纸及制品(十类),其它纸及制品
68克薄本纸787,轻工、医药产品,纸及制品(十类),其它纸及制品
78克胶版印刷纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克胶版印刷纸890X1240,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克胶版印刷纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
焊管指定必须盖雨布,钢铁,钢 材、合金钢材,管材及附件
中板1,钢铁,钢 材、合金钢材,板材
中板2,钢铁,钢 材、合金钢材,板材
白方加焊管,钢铁,钢 材、合金钢材,管材及附件
60克胶版印刷纸1100,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶版印刷纸945,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克胶版印刷纸1096,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克胶版印刷纸1250,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶版印刷纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸846,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
黑管,钢铁,钢 材、合金钢材,管材及附件
中板3,钢铁,钢 材、合金钢材,板材
江西拓源焊管,钢铁,钢 材、合金钢材,管材及附件
70克精制轻量涂布纸1140,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶版印刷纸787x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
85克全木浆复印纸297x420,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆胶版纸770X1092,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克精制轻量涂布纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克薄本纸840,轻工、医药产品,纸及制品(十类),其它纸及制品
78克薄本纸750,轻工、医药产品,纸及制品(十类),其它纸及制品
98克胶版印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶版印刷纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
98克胶版印刷纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克胶版印刷纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精制轻量涂布纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精制轻量涂布纸1092X889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
加焊管两磅,钢铁,钢 材、合金钢材,管材及附件
80克胶版印刷纸1100,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克胶版印刷纸1300,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克胶版印刷纸1240,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
98克胶版印刷纸1250,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克全木浆胶版纸710,轻工、医药产品,纸及制品(十类),纸板（原纸）
65克胶版印刷纸710,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶版印刷纸710,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆复印纸297X210,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克全木浆胶版纸889X1194,轻工、医药产品,纸及制品(十类),纸板（原纸）
80克全木浆胶版纸880X1230,轻工、医药产品,纸及制品(十类),纸板（原纸）
80克全木浆胶版纸787X1092,轻工、医药产品,纸及制品(十类),纸板（原纸）
60克精制轻量涂布纸1100,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
41克无碳复写原纸1715,轻工、医药产品,纸及制品(十类),其它纸及制品
80克胶版印刷纸710,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
黑方加白方加焊管,钢铁,钢 材、合金钢材,管材及附件
75克胶版印刷纸620,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶版印刷纸1255,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克胶版印刷纸8891194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克胶版印刷纸890X1240,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
机床,机械设备、电器,普通工业机械及设备,金属加工机械及设备
67克精制轻量涂布纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精制轻量涂布纸765,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
90克全木浆胶版纸860,轻工、医药产品,纸及制品(十类),纸板（原纸）
95克全木浆胶版纸860,轻工、医药产品,纸及制品(十类),纸板（原纸）
64克精制轻量涂布纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆胶版纸860,轻工、医药产品,纸及制品(十类),纸板（原纸）
焊管有三件8米定尺,钢铁,钢 材、合金钢材,管材及附件
电脑,机械设备、电器,电子、电讯设备及器材,电子计算机及外部设备
PB铁矿粉,金属矿石,铁矿石,铁矿
空调配件,机械设备、电器,电力设备、电器机械及器材,家用电器
60克全木浆胶版纸1700,轻工、医药产品,纸及制品(十类),纸板（原纸）
65克胶版印刷纸840,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克胶版印刷纸838,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶版印刷纸1103,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶版印刷纸1253,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克胶版印刷纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克胶版印刷纸800,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克胶版印刷纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆复印纸210X420,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
焊管36T,钢铁,钢 材、合金钢材,管材及附件
焊管加黑方31T,钢铁,钢 材、合金钢材,管材及附件
焊管加黑方31T直属车,钢铁,钢 材、合金钢材,管材及附件
62克精制轻量涂布纸860,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆复印纸195X270,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
41无克碳复写原纸1710,轻工、医药产品,纸及制品(十类),其它纸及制品
调货家电,机械设备、电器,电力设备、电器机械及器材,家用电器
41克无碳复写原纸1035,轻工、医药产品,纸及制品(十类),其它纸及制品
80克精制轻量涂布纸1095,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸755,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
41无碳复写原纸1035,轻工、医药产品,纸及制品(十类),其它纸及制品
50克品丰原纸1090,轻工、医药产品,纸及制品(十类),其它纸及制品
80克象牙白道林纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克象牙白道林纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克象牙白道林纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
120克象牙白道林纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克象牙白道林纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
52克铜版原纸896,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克胶版印刷纸1100,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
98克胶版印刷纸1100,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸787x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精制轻量涂布纸1240x889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精制轻量涂布纸860,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸787x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸930,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶板印刷纸1253,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶板印刷纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶版印刷纸710X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克薄本纸889X1194,轻工、医药产品,纸及制品(十类),其它纸及制品
80克薄本纸787X1092,轻工、医药产品,纸及制品(十类),其它纸及制品
80克薄本纸730X1080,轻工、医药产品,纸及制品(十类),其它纸及制品
80克薄本纸1190X860,轻工、医药产品,纸及制品(十类),其它纸及制品
80克薄本纸718X1030,轻工、医药产品,纸及制品(十类),其它纸及制品
80克薄本纸705X1030,轻工、医药产品,纸及制品(十类),其它纸及制品
80克薄本纸840X1170,轻工、医药产品,纸及制品(十类),其它纸及制品
78克薄本纸862,轻工、医药产品,纸及制品(十类),其它纸及制品
78克薄本纸820X1040,轻工、医药产品,纸及制品(十类),其它纸及制品
80克薄本纸767X1070,轻工、医药产品,纸及制品(十类),其它纸及制品
80克薄本纸767x1070,轻工、医药产品,纸及制品(十类),其它纸及制品
80克薄本纸840x1170,轻工、医药产品,纸及制品(十类),其它纸及制品
80克薄本纸840x1180,轻工、医药产品,纸及制品(十类),其它纸及制品
70克全木浆复印纸270X390,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆胶版纸650,轻工、医药产品,纸及制品(十类),纸板（原纸）
68克薄本纸718,轻工、医药产品,纸及制品(十类),其它纸及制品
75克全木浆胶版纸1200,轻工、医药产品,纸及制品(十类),纸板（原纸）
75克全木浆胶版纸787,轻工、医药产品,纸及制品(十类),纸板（原纸）
75克全木浆胶版纸1000,轻工、医药产品,纸及制品(十类),纸板（原纸）
80克象牙白道林纸780,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
53克胶版印刷纸1235,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
53克胶版印刷纸935,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
52克铜版原纸794,轻工、医药产品,纸及制品(十类),纸板（原纸）
52克铜版原纸710,轻工、医药产品,纸及制品(十类),纸板（原纸）
焊管33吨,钢铁,钢 材、合金钢材,管材及附件
热方35吨,钢铁,钢 材、合金钢材,管材及附件
70克全木浆胶版纸875,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆胶版纸875X1100,轻工、医药产品,纸及制品(十类),纸板（原纸）
中板26,钢铁,钢 材、合金钢材,板材
中板32,钢铁,钢 材、合金钢材,板材
60克胶版印刷纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
41克无碳复写原纸1560,轻工、医药产品,纸及制品(十类),其它纸及制品
45克无碳复写原纸1035,轻工、医药产品,纸及制品(十类),其它纸及制品
黑方加焊管11吨,钢铁,钢 材、合金钢材,管材及附件
58精制轻量涂布纸1095,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸820,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
方矩管+焊管,钢铁,钢 材、合金钢材,管材及附件
78克胶版印刷纸990,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克胶版印刷纸740,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
75克胶版印刷纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸781,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
热焊管,钢铁,钢 材、合金钢材,管材及附件
湿浆,轻工、医药产品,纸及制品(十类),纸浆
80克象牙白道林纸1000X710,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克象牙白道林纸1000X710,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克象牙白道林纸889x1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克象牙白道林纸889x1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
120克象牙白道林纸787x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克象牙白道林纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
焊管31T,钢铁,钢 材、合金钢材,管材及附件
70克胶版印刷纸1423,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸1420,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶版印刷纸1250,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸555,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克胶版印刷纸750,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
焊管方,钢铁,钢 材、合金钢材,管材及附件
78克薄本纸845,轻工、医药产品,纸及制品(十类),其它纸及制品
钢板25x2500,钢铁,钢 材、合金钢材,板材
70克象牙道林纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克象牙白道林纸575,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克象牙白道林纸650,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
52克铜版原纸920,轻工、医药产品,纸及制品(十类),纸板（原纸）
白酒,轻工、医药产品,饮食品,酒（白酒、啤酒、果酒类）
70克象牙白道林纸710X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克象牙白道林纸710X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克全木浆胶版纸850X1168,轻工、医药产品,纸及制品(十类),纸板（原纸）
78克薄本纸1170,轻工、医药产品,纸及制品(十类),其它纸及制品
70克象牙白道林纸530,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
41克无碳复写纸1710,轻工、医药产品,纸及制品(十类),其它纸及制品
焊管盖雨布,钢铁,钢 材、合金钢材,管材及附件
黑方加焊管12T,钢铁,钢 材、合金钢材,管材及附件
中板4,钢铁,钢 材、合金钢材,板材
生黄不干胶,轻工、医药产品,文化体育用品,文教办公用品
70克胶版印刷纸850,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
卷板1,钢铁,钢 材、合金钢材,卷材
湿桨,轻工、医药产品,纸及制品(十类),纸浆
60克胶版书刊纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版书刊纸880X1240,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克象牙白道林纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
0克象牙白道林纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
100克象牙白道林纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
120克象牙白道林纸880X1230,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
120克象牙白道林纸1000X710,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
65克全木浆胶版纸1100,轻工、医药产品,纸及制品(十类),纸板（原纸）
65克全木浆胶版纸1200,轻工、医药产品,纸及制品(十类),纸板（原纸）
75克全木浆胶版纸1100,轻工、医药产品,纸及制品(十类),纸板（原纸）
热镀圆管焊管,钢铁,钢 材、合金钢材,管材及附件
110克典雅纯纸889,轻工、医药产品,纸及制品(十类),其它纸及制品
95克典雅纯纸787,轻工、医药产品,纸及制品(十类),其它纸及制品
95克典雅纯纸889,轻工、医药产品,纸及制品(十类),其它纸及制品
140克典雅纯纸787,轻工、医药产品,纸及制品(十类),其它纸及制品
方加焊管,钢铁,钢 材、合金钢材,管材及附件
140克典雅纯纸889,轻工、医药产品,纸及制品(十类),其它纸及制品
75克典雅纯纸787,轻工、医药产品,纸及制品(十类),其它纸及制品
